format,bits,group_size,bias_bits,scale_mode,scale_normalization,residual_scale,distortion
e8p,2,8,,,,,0.090773582458496094
e8p,3,8,,,,,0.02930963970720768
e8p,4,8,,,,,0.009500402957201004
microfloat,4,2,,mxfp4,,,0.011163790710270405
microfloat,4,2,,nvfp4,,,0.0027703028172254562
microfloat,4,4,,mxfp4,,,0.011626781895756721
microfloat,4,4,,nvfp4,,,0.005167005117982626
microfloat,4,16,,mxfp4,,,0.012744691222906113
microfloat,4,16,,nvfp4,,,0.0090790446847677231
microfloat,4,32,,mxfp4,,,0.013368080370128155
microfloat,4,32,,nvfp4,,,0.010347007773816586
microfloat,4,64,,mxfp4,,,0.014150054194033146
microfloat,4,64,,nvfp4,,,0.01123353186994791
microfloat,4,128,,mxfp4,,,0.015600919723510742
microfloat,4,128,,nvfp4,,,0.011906085535883904
lloyd_max,2,2,,,,,0.02924351766705513
lloyd_max,2,2,2,,,,0.01396598294377327
lloyd_max,2,2,3,,,,0.011465395800769329
lloyd_max,2,2,4,,,,0.0099278166890144348
lloyd_max,2,2,6,,,,0.0094530889764428139
lloyd_max,2,2,8,,,,0.0093487082049250603
lloyd_max,3,2,,,,,0.005840003490447998
lloyd_max,3,2,2,,,,0.0025165937840938568
lloyd_max,3,2,3,,,,0.001697004190646112
lloyd_max,3,2,4,,,,0.0014777205651625991
lloyd_max,3,2,6,,,,0.0012402540305629373
lloyd_max,3,2,8,,,,0.0012085918569937348
lloyd_max,4,2,,,,,0.0016626077704131603
lloyd_max,4,2,2,,,,0.00084001204231753945
lloyd_max,4,2,3,,,,0.00045818416401743889
lloyd_max,4,2,4,,,,0.00023332468117587268
lloyd_max,4,2,6,,,,0.00012322935799602419
lloyd_max,4,2,8,,,,0.00010121009836439043
lloyd_max,6,2,,,,,0.00018768383597489446
lloyd_max,6,2,2,,,,2.1575637219939381e-05
lloyd_max,6,2,3,,,,1.3718913578486536e-05
lloyd_max,6,2,4,,,,1.4568389815394767e-05
lloyd_max,6,2,6,,,,2.7028584099753061e-06
lloyd_max,6,2,8,,,,1.754166419232206e-06
lloyd_max,8,2,,,,,1.5369692846434191e-05
lloyd_max,8,2,2,,,,1.7626929320613272e-06
lloyd_max,8,2,3,,,,5.3239486987877171e-06
lloyd_max,8,2,4,,,,2.0101256268389989e-06
lloyd_max,8,2,6,,,,1.6741788044782879e-07
lloyd_max,8,2,8,,,,1.1936674582102569e-07
lloyd_max,2,4,,,,,0.059326991438865662
lloyd_max,2,4,2,,,,0.040940430015325546
lloyd_max,2,4,3,,,,0.03094443678855896
lloyd_max,2,4,4,,,,0.028488561511039734
lloyd_max,2,4,6,,,,0.027167096734046936
lloyd_max,2,4,8,,,,0.026951933279633522
lloyd_max,3,4,,,,,0.012160040438175201
lloyd_max,3,4,2,,,,0.0080630751326680183
lloyd_max,3,4,3,,,,0.0063836956396698952
lloyd_max,3,4,4,,,,0.0056427335366606712
